name	SL021	SL036	SL037	SL038	SL048	SL050	SL068	SL085	SL086	SL088	SL090	SL103	SL111	SL112	SL114	SL118	SL125	SL200
Streptococcus_sp._116-D4	4489	1043	2514	2459	973	1011	381	4118	447	3040	3896	3120	1067	1400	2061	2328	782	2128
Streptococcus_sp._DTU_2020_1001019_1_SI_AUS_MUR_006	1366	583	1745	2113	1536	1274	882	1854	675	1883	9119	2058	1417	1356	2890	1380	1085	786
Streptococcus_sp._oral_taxon_431	1104	556	1727	1624	1492	1128	758	1523	570	1716	10219	2130	1606	1309	3224	1340	1152	553
Streptococcus_sp._NPS_308	1115	593	1181	654	1233	875	490	1057	922	1301	1268	1210	732	852	681	1779	1098	1159
Streptococcus_sp._1643	909	813	782	616	1666	1858	490	613	1270	1656	879	743	385	594	483	636	728	666
Streptococcus_sp._DTU_2020_1000888_1_SI_GRL_NUU_041A	816	507	578	551	768	2381	647	1095	1568	792	313	1229	1904	1796	627	478	1883	1182
Streptococcus_sp._oral_taxon_061	643	477	713	1353	1453	1251	682	1071	422	1578	7926	1460	2929	2233	7836	1450	1358	330
Streptococcus_sp._Marseille-Q6470	585	381	504	1078	1238	1066	598	903	338	1562	7908	1175	2148	1725	4063	1488	1339	364
Streptococcus_sp._Marseille-Q3533	533	237	536	769	1012	574	378	1057	292	1298	6796	1008	2099	1460	2629	1595	1981	455
Streptococcus_sp._D7B5	735	753	675	477	1287	1016	530	656	864	1593	928	971	549	1482	455	516	1002	659
Streptococcus_sp._FDAARGOS_192	485	357	83	123	102	347	85	89	106	41	98	200	794	28	502	126	26	56
Streptococcus_sp._oral_taxon_064	567	651	378	333	1166	679	487	492	515	919	649	1062	317	560	302	293	409	342
Streptococcus_sp._S5	389	800	231	610	417	1526	534	258	345	252	883	1043	8331	271	2561	420	143	150
Streptococcus_sp._LPB0220	320	824	224	552	429	1336	560	340	378	504	1087	938	8718	296	2526	503	166	134
Streptococcus_sp._S1	204	499	151	349	278	879	343	195	226	185	654	623	5622	277	2212	365	143	68
Streptococcus_sp._A12	120	115	205	387	165	176	85	301	56	442	464	261	3562	2091	1544	1186	1717	157
Streptococcus_sp._zg-86	28	15	16	7	8	15	7	42	13	14	20	33	28	13	23	27	10	9
Streptococcus_sp._KS_6	29	51	47	25	78	21	21	30	18	21	49	32	39	10	19	17	11	41
Streptococcus_sp._29896	24	9	12	15	7	9	2	23	7	16	13	29	13	7	17	11	6	15
Streptococcus_sp._29887	22	11	6	10	6	2	0	22	3	6	15	13	19	7	9	21	5	4
Streptococcus_sp._HN38	23	3	12	33	4	5	9	28	3	15	15	21	3	3	13	10	1	3
Streptococcus_sp._NSJ-72	22	299	54	31	84	30	42	51	29	62	78	46	48	46	26	39	48	59
Streptococcus_sp._29892	8	11	34	17	7	8	3	46	13	16	20	21	16	10	17	23	4	7
Streptococcus_sp._NCTC_11567	9	4	15	6	25	3	14	9	8	1	0	5	26	9	0	11	10	19
Streptococcus_sp._FDAARGOS_521	19	0	7	0	0	0	0	0	0	0	8	0	11	0	0	0	0	0
Streptococcus_sanguinis	15194	10605	12788	12849	14255	59602	12821	15733	30754	14673	5581	20213	38459	41941	13379	11245	38595	23445
Streptococcus_salivarius	6994	9581	1982	2510	2381	7785	2081	1850	2728	600	1183	2600	17109	753	12073	1980	382	813
Streptococcus_toyakuensis	6477	1578	3493	4231	1004	1124	377	5691	499	4106	3728	4298	1172	1516	2266	2847	1078	2509
Streptococcus_gwangjuense	5415	1928	3014	6998	1464	1176	386	4363	635	6027	2647	8701	1453	1521	2105	2421	2168	2209
Streptococcus_gordonii	3612	3713	6647	2291	6075	22928	4403	5302	3973	5589	11422	5138	26797	4727	6260	1823	2161	11307
Streptococcus_pseudopneumoniae	3929	1104	2524	2457	1024	1388	510	4209	579	3467	3891	3039	1042	1413	1962	2691	718	2428
Streptococcus_anginosus_group	1792	3980	2492	1269	1692	2256	961	2699	937	1770	1396	3061	2500	821	1773	753	956	4332
Streptococcus_intermedius	1226	2216	506	580	638	1707	384	1542	436	890	765	2034	1857	472	1320	315	289	3558
Streptococcus_anginosus	239	462	418	298	608	438	395	285	418	317	422	690	433	258	267	278	336	307
Streptococcus_constellatus	326	1177	1619	349	502	219	186	808	101	452	127	292	251	133	245	205	305	393
Streptococcus_australis	1541	683	3569	1250	2482	826	506	1642	2495	1701	1421	2774	4481	1904	1679	1566	1164	1100
Streptococcus_parasanguinis	1020	2588	948	1654	1431	4723	1814	1057	1075	924	3192	3437	28629	1201	8565	1800	654	500
Streptococcus_cristatus	886	1153	4241	7405	2403	2647	2638	1399	3236	744	3235	2113	4053	2022	4461	1077	2633	7224
Streptococcus_infantis	539	653	483	1196	781	2614	774	562	480	664	4198	1260	1332	696	3781	670	422	202
Streptococcus_vestibularis	357	547	135	187	86	101	52	238	64	299	110	246	161	48	180	104	45	74
Streptococcus_suis	307	165	241	302	246	155	65	373	142	251	261	337	247	124	242	231	104	155
Streptococcus_thermophilus	272	1080	170	332	193	262	11259	247	119	160	255	189	623	98	380	174	105	139
Streptococcus_lactarius	176	482	125	206	236	314	241	286	106	251	373	307	3107	392	616	529	120	135
Streptococcus_dysgalactiae_group	169	156	171	165	131	126	88	206	194	163	175	329	230	144	133	148	84	148
Streptococcus_dysgalactiae	110	108	87	70	65	78	51	122	107	120	133	110	164	97	85	77	32	51
Streptococcus_equi	59	58	91	90	77	47	42	91	60	53	36	223	61	54	58	73	42	79
Streptococcus_ilei	134	92	195	259	164	170	106	165	71	255	451	226	2681	2133	474	545	426	97
Streptococcus_pyogenes	145	41	199	129	81	80	69	123	61	99	99	127	165	80	103	115	43	123
Streptococcus_rubneri	95	45	70	113	80	74	38	104	37	131	199	107	1035	660	411	249	266	69
Streptococcus_parasuis	69	36	37	55	48	40	18	82	29	50	62	247	54	28	60	40	32	25
Streptococcus_equinus	63	32	31	42	33	22	18	51	9	20	42	58	44	15	32	39	8	40
Streptococcus_agalactiae	151	248	104	369	236	145	80	289	125	284	397	242	415	132	259	241	142	140
Streptococcus_himalayensis	56	21	54	26	21	24	8	75	25	32	28	57	33	8	44	36	19	32
Streptococcus_koreensis	67	51	62	112	109	104	62	110	78	142	262	231	1223	822	292	254	169	52
Streptococcus_oriscaviae	48	12	20	22	16	7	8	40	10	16	25	35	21	18	30	19	13	13
Streptococcus_mutans	45	4128	275	157	1892	4012	1360	61	141	31	40	58	1594	19	2775	38	17	1368
Streptococcus_ferus	39	22	19	15	15	20	9	63	15	30	32	30	18	8	28	24	5	17
Streptococcus_alactolyticus	38	19	24	24	18	6	4	44	9	19	22	41	20	7	23	17	14	12
Streptococcus_iniae	33	14	28	10	12	35	6	36	12	16	16	30	24	15	23	9	18	19
Streptococcus_porcinus	33	86	20	19	19	6	11	43	36	16	15	24	27	16	25	26	9	19
Streptococcus_urinalis	33	6	20	13	6	8	8	31	15	15	10	23	15	2	13	15	9	12
Streptococcus_acidominimus	30	34	17	11	15	21	7	38	14	27	29	27	14	17	13	15	12	15
Streptococcus_merionis	29	16	32	25	11	13	11	53	14	22	31	48	27	12	22	21	15	12
Streptococcus_pseudoporcinus	27	15	27	24	18	13	13	24	36	17	20	20	25	23	19	17	15	32
Streptococcus_pluranimalium	26	27	40	31	26	26	16	46	15	34	26	109	35	47	29	33	18	19
Streptococcus_parauberis	26	10	17	31	14	6	7	30	15	24	9	22	15	2	20	14	14	12
Streptococcus_marmotae	25	17	20	16	18	16	3	30	15	18	34	20	16	18	21	29	13	33
Streptococcus_uberis	25	18	21	16	15	12	3	48	18	14	5	25	15	9	27	17	18	5
Streptococcus_canis	23	17	28	22	13	16	9	44	24	25	39	42	27	17	23	19	11	24
Streptococcus_milleri	35	219	84	70	131	30	63	172	28	76	65	72	52	60	54	53	75	62
Streptococcus_respiraculi	17	23	21	13	15	15	3	42	11	13	27	29	23	19	24	26	3	17
Streptococcus_halotolerans	16	23	21	12	13	6	3	63	8	12	16	26	17	8	21	18	9	7
Streptococcus_halichoeri	16	9	16	12	3	3	3	19	5	13	14	16	17	12	8	10	5	7
Streptococcus_sobrinus	15	17765	32	20	82	24	128	51	9	18	36	43	31	12	23	25	12	43
Streptococcus_didelphis	15	8	18	6	16	3	3	28	4	12	13	29	18	8	9	5	11	3
Streptococcus_chenjunshii	15	14	11	7	15	5	3	12	7	10	14	27	10	10	6	10	7	8
Streptococcus_lutetiensis	16	13	1	2	4	4	3	9	5	7	1	12	19	4	6	10	1	15
Streptococcus_ratti	14	21	19	16	5	16	3	20	14	10	14	26	39	6	23	23	5	13
Streptococcus_troglodytae	12	34	8	17	10	15	6	20	9	14	22	12	27	8	23	9	4	10
Streptococcus_pantholopis	11	7	7	9	8	4	0	25	6	10	11	24	7	7	19	11	14	8
Streptococcus_gallolyticus	11	17	15	4	19	8	3	45	11	9	26	120	19	2	16	23	13	20
Streptococcus_periodonticum	11	30	27	23	50	16	14	20	54	32	17	7	106	94	29	33	8	32
Streptococcus_macedonicus	15	7	1	1	9	3	4	4	16	16	2	4	10	4	2	12	3	0
Streptococcus_ruminantium	10	6	20	14	21	25	4	29	14	21	22	11	39	17	24	14	3	15
Streptococcus_infantarius	5	1	11	6	4	7	2	13	2	2	2	2	6	1	1	3	1	1
Streptococcus_ruminicola	6	11	3	5	14	2	7	15	2	3	24	24	5	4	8	6	5	4
Streptococcus_pasteurianus	12	9	22	13	8	6	17	5	5	6	20	16	18	5	10	1	18	7
Lactococcus	29	81	88	38	43	51	37	51	26	25	38	58	96	11	33	62	9	31
unclassified_Lactococcus	14	3	1	10	0	0	0	0	5	1	0	1	0	0	5	9	0	3
Lactococcus_sp._LG1267	14	5	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0
Lactococcus_lactis	7	33	27	11	14	23	16	16	7	6	9	28	25	6	22	8	7	7
Lactococcus_garvieae	5	1	4	2	4	0	0	7	1	3	11	3	1	1	3	2	2	2
Lactococcus_cremoris	2	23	37	15	14	23	9	10	4	3	3	18	55	4	1	9	0	10
Lactococcus_raffinolactis	1	2	2	5	0	1	1	4	5	3	4	4	3	2	1	4	1	0
Floricoccus	3	3	6	0	0	9	1	4	0	2	2	3	2	1	1	0	0	2
Floricoccus_penangensis	3	2	7	1	0	11	1	5	0	1	0	4	0	0	3	2	0	2
Carnobacteriaceae	7609	8978	8388	9723	8345	2819	4277	21645	5586	27289	11162	12755	17190	5634	7578	9359	6029	5348
Granulicatella	7551	8947	8305	9626	8308	2857	4278	21597	5300	27290	11150	12414	16949	5478	7344	9404	6093	5293
Granulicatella_elegans	5975	1985	4822	4635	1090	175	1006	16071	70	18648	2323	4678	207	620	2078	5966	1089	2815
Granulicatella_adiacens	1576	6884	3626	5011	7208	2697	3221	5688	5253	8566	8961	7993	16686	4854	5382	3310	4867	2480
Carnobacterium	22	4	17	21	9	8	14	32	10	20	14	20	25	14	7	18	6	14
Carnobacterium_viridans	7	1	1	1	0	0	0	7	0	2	1	0	1	1	0	1	0	1
Carnobacterium_divergens	5	3	6	6	3	0	3	12	1	10	6	7	12	4	0	5	2	3
Carnobacterium_inhibens	4	0	1	6	1	0	4	9	0	3	6	2	2	0	3	5	1	7
Carnobacterium_maltaromaticum	4	1	3	3	2	3	8	6	3	7	4	8	10	1	4	1	4	2
unclassified_Carnobacterium	2	0	5	2	4	2	4	8	1	1	1	3	6	3	0	5	0	1
Carnobacterium_sp._17-4	2	0	0	1	1	2	1	3	2	1	3	2	2	1	0	2	0	1
Dolosigranulum	20	20	22	30	11	4	8	36	253	21	9	20	233	13	115	54	14	15
Dolosigranulum_pigrum	20	33	19	21	9	6	7	34	252	20	8	17	229	17	101	65	15	15
Jeotgalibaca	12	17	12	25	18	4	6	35	7	25	21	17	30	12	12	20	7	9
unclassified_Jeotgalibaca	3	5	5	10	5	0	4	17	2	7	10	6	16	1	4	11	0	5
Jeotgalibaca_sp._MA1X17-3	3	0	4	5	1	1	5	8	1	3	6	4	7	0	0	6	0	3
Jeotgalibaca_ciconiae	4	3	1	0	10	2	0	0	0	6	0	1	3	3	5	1	1	0
Jeotgalibaca_dankookensis	3	3	1	2	0	0	2	9	0	0	2	1	1	0	1	5	0	3
Jeotgalibaca_porci	1	1	0	3	2	1	1	5	4	3	1	3	6	0	1	2	0	0
Marinilactibacillus	4	1	4	1	1	2	3	9	0	3	6	2	2	1	2	5	0	5
unclassified_Marinilactibacillus	4	1	3	2	1	1	1	7	0	3	5	1	2	2	3	3	0	4
Marinilactibacillus_sp._15R	4	1	4	2	1	0	3	7	0	1	4	3	1	0	2	5	0	1
Aerococcaceae	4724	2045	10582	6690	15191	8126	6486	3790	7551	16069	8494	6811	7925	18783	4549	10387	11009	14329
Abiotrophia	4690	2043	10650	6652	15105	8120	6455	3767	7614	15966	8599	6675	7918	18578	4548	10440	11005	14251
Abiotrophia_defectiva	4690	2077	10415	6655	15067	8172	6539	3767	7577	15923	8558	6688	7947	18526	4501	10399	10871	14226
Aerococcus	23	8	14	14	11	16	10	26	6	5	10	14	11	11	14	16	10	11
Aerococcus_christensenii	9	2	4	1	4	4	5	9	2	2	0	1	1	1	5	2	2	2
Aerococcus_viridans	7	1	0	0	1	1	0	1	0	0	2	3	1	0	0	1	0	4
Aerococcus_urinaeequi	5	4	5	3	2	3	4	3	2	1	4	4	3	1	7	2	0	3
Aerococcus_tenax	1	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0
Globicatella	9	4	6	4	4	5	4	10	2	13	9	11	5	0	6	12	2	0
unclassified_Globicatella	4	2	3	2	1	3	2	5	5	4	9	2	2	0	4	3	2	2
Globicatella_sp._PHS-GS-PNBC-21-1553	4	1	6	3	2	3	1	4	3	2	3	3	3	0	1	6	2	1
Globicatella_sanguinis	4	0	4	2	5	1	3	6	0	6	1	8	4	1	4	5	2	0
Fundicoccus	1	4	0	2	3	1	4	6	0	4	4	3	3	2	7	3	3	3
Fundicoccus_culcitae	1	3	2	3	1	0	3	7	0	4	3	4	5	0	5	3	4	0
Lactobacillaceae	158	1050	195	298	291	237	163	392	95	248	167	215	172	119	125	178	101	373
Ligilactobacillus	35	16	39	94	21	6	19	61	15	23	39	22	47	16	20	16	16	27
Ligilactobacillus_salivarius	12	5	20	85	12	1	8	42	8	9	15	13	18	2	2	2	6	9
Ligilactobacillus_animalis	8	0	0	0	0	0	1	0	0	2	2	0	0	0	0	2	0	1
Ligilactobacillus_cholophilus	6	0	3	5	5	0	0	3	0	3	3	3	0	1	1	3	2	0
Ligilactobacillus_faecis	4	2	1	1	0	1	0	0	0	0	1	1	3	0	0	1	4	1
Ligilactobacillus_agilis	3	0	2	2	3	1	0	5	0	2	1	4	1	0	7	3	0	5
Ligilactobacillus_acidipiscis	1	0	1	1	2	0	0	1	0	0	3	0	3	0	2	1	0	0
Ligilactobacillus_murinus	1	4	7	2	1	0	0	21	1	4	2	2	1	1	0	2	1	12
Lactobacillus	22	176	49	70	73	157	42	106	22	63	49	37	45	18	26	71	32	155
Lactobacillus_iners	5	45	7	18	14	3	12	32	6	10	9	9	5	2	10	24	7	15
unclassified_Lactobacillus	3	60	8	14	18	11	7	11	7	15	12	6	6	3	2	6	7	16
Lactobacillus_sp._Kim32-2	1	1	0	2	4	0	1	0	2	0	0	2	1	0	0	1	0	1
Lactobacillus_sp._CBA3605	2	0	2	0	3	0	0	2	0	1	1	1	3	0	0	0	1	1
Lactobacillus_delbrueckii	3	1	1	2	3	1	7	2	1	1	0	0	3	0	1	4	0	0
Lactobacillus_crispatus	2	4	4	1	5	105	2	7	1	3	0	1	3	1	1	1	1	25
Lactobacillus_taiwanensis	2	3	2	3	0	1	0	3	2	3	8	3	0	1	2	7	2	0
Lactobacillus_amylovorus	1	0	3	1	0	9	0	2	2	2	1	1	1	4	4	5	3	1
Lactobacillus_johnsonii	1	4	3	8	3	3	1	9	1	0	1	1	1	0	0	2	1	10
Lactobacillus_kefiranofaciens	1	0	0	3	1	1	1	2	0	0	1	1	1	1	0	0	0	2
Lactobacillus_acidophilus	1	1	8	0	1	1	0	5	0	3	1	1	0	1	1	7	4	8
Lactobacillus_isalae	1	0	0	1	2	1	0	0	0	1	0	1	1	1	0	0	0	2
Lactiplantibacillus	17	22	3	7	12	15	4	5	7	5	8	8	14	10	12	10	5	9
Lactiplantibacillus_plantarum	12	25	1	4	9	11	2	1	6	2	5	6	3	4	7	8	1	3
Lactiplantibacillus_paraplantarum	5	2	0	0	1	0	1	0	0	2	0	2	1	0	4	1	0	1
Companilactobacillus	10	6	9	10	11	3	8	17	5	6	9	14	8	6	7	3	9	22
Companilactobacillus_paralimentarius	4	0	2	0	0	0	2	1	0	0	0	0	0	1	1	0	0	2
Companilactobacillus_pabuli	3	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
Companilactobacillus_futsaii	1	0	3	0	1	0	1	1	1	0	0	1	0	0	1	2	0	1
Companilactobacillus_crustorum	1	0	2	2	2	0	0	3	0	1	0	7	0	0	0	3	0	1
Weissella	10	10	9	10	10	4	3	20	3	24	3	10	12	7	7	12	5	10
Weissella_coleopterorum	2	0	0	1	2	0	0	3	0	5	0	0	0	0	0	0	0	0
Weissella_koreensis	2	1	0	0	1	0	0	5	0	1	0	1	0	0	0	1	0	2
Weissella_cibaria	2	2	1	1	2	0	0	5	0	7	1	2	0	2	4	1	1	1
Weissella_paramesenteroides	2	1	3	2	4	1	0	0	1	0	1	1	0	0	0	0	0	0
Weissella_confusa	1	0	0	0	0	2	1	1	0	2	0	3	3	0	1	0	0	1
Limosilactobacillus	9	604	12	9	32	30	16	26	8	11	2	32	17	10	9	13	9	48
Limosilactobacillus_fermentum	4	588	2	1	0	2	3	9	0	2	1	2	1	0	1	1	1	7
Limosilactobacillus_reuteri	4	2	2	6	9	4	5	11	3	1	3	28	0	3	2	7	2	4
Limosilactobacillus_vaginalis	1	2	2	0	0	5	1	1	0	0	0	0	2	4	0	0	0	0
Leuconostoc	8	180	14	8	16	4	2	12	2	6	5	7	6	2	8	9	4	12
Leuconostoc_gelidum_group	4	6	4	0	14	1	1	4	2	0	0	0	2	2	1	4	2	0
Leuconostoc_gelidum	4	1	3	0	3	0	2	0	1	0	1	0	0	0	1	2	1	0
Leuconostoc_pseudomesenteroides	2	111	0	0	1	2	0	2	1	1	0	0	2	0	3	0	0	3
Leuconostoc_mesenteroides	1	7	4	2	5	0	0	4	2	1	1	0	0	0	2	2	0	0
Lacticaseibacillus	7	25	12	20	7	13	60	12	6	3	6	7	8	6	6	5	0	11
unclassified_Lacticaseibacillus	2	0	1	2	3	4	1	3	2	1	3	4	4	3	3	4	1	3
Lacticaseibacillus_sp._KACC_23028	2	0	1	2	3	4	1	4	2	0	5	5	4	2	5	1	1	0
Lacticaseibacillus_paracasei	2	28	5	1	1	0	44	3	5	0	1	1	1	3	0	2	2	2
Lacticaseibacillus_pantheris	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Lacticaseibacillus_rhamnosus	1	4	1	5	4	4	11	0	1	0	1	0	0	0	0	1	2	1
Pediococcus	6	5	7	7	6	3	1	9	0	8	8	12	5	7	3	3	3	11
Pediococcus_acidilactici_group	4	1	0	1	0	0	0	4	0	0	0	2	3	0	1	0	2	0
Pediococcus_acidilactici	4	1	0	0	0	0	0	5	0	0	0	0	1	0	2	1	2	0
Pediococcus_claussenii	1	2	3	1	0	1	0	1	0	2	2	0	2	2	0	0	0	0
Pediococcus_pentosaceus	1	0	5	4	1	0	1	4	0	1	2	2	0	1	0	3	1	6
Schleiferilactobacillus	4	1	0	2	0	1	0	3	1	2	0	1	2	0	1	2	0	0
Schleiferilactobacillus_harbinensis	4	2	0	2	0	0	0	2	0	1	0	2	0	0	0	3	0	0
Paucilactobacillus	3	2	1	10	8	0	0	13	0	4	3	2	8	3	0	1	1	2
Paucilactobacillus_nenjiangensis	3	0	0	0	6	1	0	4	0	2	0	3	5	0	1	0	0	0
Levilactobacillus	3	2	4	2	3	1	2	1	1	2	2	3	4	3	3	4	2	2
Levilactobacillus_brevis	3	0	0	1	2	1	1	0	1	2	3	2	4	0	0	1	1	3
Lentilactobacillus	3	0	3	7	4	2	1	12	5	9	2	2	2	3	4	8	2	4
Lentilactobacillus_buchneri	2	0	1	2	1	1	1	3	0	0	1	1	1	0	0	1	2	0
Lentilactobacillus_parabuchneri	1	0	0	1	2	0	0	0	0	0	0	3	0	1	0	0	1	0
Lapidilactobacillus	3	0	1	0	2	2	0	1	1	0	0	2	1	2	1	1	0	1
Lapidilactobacillus_dextrinicus	3	0	1	0	1	6	0	1	0	0	0	2	1	0	2	0	0	1
Latilactobacillus	2	4	3	8	4	0	6	4	1	17	7	14	7	9	1	3	3	11
Latilactobacillus_curvatus	2	4	0	0	2	0	4	1	0	3	0	1	1	2	0	0	1	3
Fructilactobacillus	2	10	0	19	14	1	2	12	6	6	0	4	1	4	1	4	3	6
Fructilactobacillus_cliffordii	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Fructilactobacillus_sanfranciscensis	1	3	0	12	5	1	0	4	5	2	0	2	0	1	1	1	0	2
Bombilactobacillus	2	2	1	9	6	0	4	7	4	3	1	4	2	2	2	5	1	3
Bombilactobacillus_thymidiniphilus	1	0	1	0	0	0	0	2	1	0	0	0	0	1	0	2	0	0
Bombilactobacillus_bombi	1	0	2	0	1	0	1	2	4	2	1	1	1	1	1	0	0	0
Secundilactobacillus	1	2	1	1	1	0	0	1	0	1	1	1	0	3	0	2	0	0
Secundilactobacillus_paracollinoides	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
Loigolactobacillus	1	0	7	12	0	2	2	7	0	16	8	6	7	0	3	3	5	4
Loigolactobacillus_bifermentans	1	0	1	0	1	1	1	2	0	1	4	4	9	0	2	1	0	1
Liquorilactobacillus	1	5	5	1	1	1	1	10	1	3	0	5	3	3	1	4	1	8
Liquorilactobacillus_nagelii	1	0	3	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0
Furfurilactobacillus	1	0	5	2	0	0	0	5	1	13	0	3	0	0	0	1	0	5
Furfurilactobacillus_rossiae	1	1	4	2	0	0	0	5	0	11	0	2	0	2	1	1	0	3
Fructobacillus	1	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3
Fructobacillus_americanaquae	1	0	0	1	0	0	0	4	0	0	0	0	0	0	0	2	0	1
Enterococcaceae	115	148	101	159	108	52	89	221	58	194	179	193	124	86	117	149	88	119
Enterococcus	80	122	78	117	74	48	58	131	43	141	117	153	77	70	83	109	58	82
Enterococcus_cecorum	12	6	7	9	12	5	14	10	4	19	18	11	10	12	6	15	6	5
Enterococcus_faecalis	15	15	12	30	13	3	5	31	6	49	34	41	14	9	20	33	16	20
Enterococcus_faecium	13	65	15	28	8	26	10	8	17	10	23	28	13	6	16	6	15	10
unclassified_Enterococcus	7	2	1	1	1	1	0	5	1	6	2	7	6	6	0	2	2	9
Enterococcus_sp._CoE-012-22	5	2	0	5	1	0	0	4	1	8	2	1	0	0	0	1	0	0
Enterococcus_sp._CR-Ec1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Enterococcus_thailandicus	7	2	1	4	1	1	0	4	0	5	1	0	2	0	8	8	2	1
Enterococcus_hirae	6	9	9	9	4	5	6	8	7	2	16	19	6	2	8	11	10	5
Enterococcus_raffinosus	5	4	3	2	3	2	0	5	0	2	1	2	4	3	2	5	3	0
environmental_samples	3	1	2	0	8	1	0	3	0	6	2	4	1	0	3	1	0	6
uncultured_Enterococcus_sp.	3	5	4	0	6	1	0	3	0	6	2	3	1	0	2	1	0	4
Enterococcus_wangshanyuanii	3	1	1	4	2	3	0	9	0	4	1	0	1	6	4	3	0	3
Enterococcus_mundtii	3	2	3	5	1	5	1	8	0	9	9	7	11	5	1	3	1	2
Enterococcus_saigonensis	1	1	1	0	1	0	0	3	1	3	1	5	5	1	1	1	1	0
Enterococcus_rotai	1	2	3	5	1	0	3	6	1	5	0	3	2	0	2	0	0	2
Enterococcus_saccharolyticus	1	1	3	2	0	0	3	5	1	2	0	1	1	1	3	3	1	3
Vagococcus	26	24	33	32	11	4	28	55	11	42	35	41	35	11	28	30	13	18
Vagococcus_hydrophili	7	1	2	4	1	0	4	6	1	3	3	2	2	3	1	1	1	3
Vagococcus_lutrae	7	3	2	5	6	0	11	4	1	3	0	13	10	1	3	4	1	4
unclassified_Vagococcus	3	0	3	4	0	0	1	10	6	5	0	0	2	4	2	2	1	2
Vagococcus_sp._CY52-2	3	1	7	2	0	0	2	8	4	6	1	2	2	4	0	3	0	2
Vagococcus_carniphilus	4	1	2	4	0	0	3	3	0	3	6	2	4	0	2	6	0	2
Vagococcus_coleopterorum	1	2	1	0	1	0	0	4	2	3	0	1	1	0	2	4	0	1
Vagococcus_zengguangii	1	0	0	0	0	0	1	3	0	1	9	2	1	1	1	1	0	0
Vagococcus_xieshaowenii	1	0	1	0	1	0	0	3	1	4	3	5	1	0	3	0	0	1
Vagococcus_teuberi	1	1	4	5	0	0	0	2	0	2	4	6	2	2	2	4	8	0
Tetragenococcus	6	4	13	3	7	1	7	14	2	10	3	2	3	3	4	3	5	9
Tetragenococcus_halophilus	4	1	6	0	4	1	2	9	2	6	0	1	5	0	3	2	0	8
Tetragenococcus_koreensis	2	1	2	0	2	0	0	5	0	2	1	0	2	1	2	0	0	2
Melissococcus	1	0	4	0	1	1	2	2	0	0	1	1	2	0	0	1	1	1
Melissococcus_plutonius	1	0	0	0	2	1	1	1	1	0	0	2	1	0	1	1	2	1
Bacillales	34752	6218	15452	25221	6070	10442	9074	23024	11852	18028	10823	21367	4702	3795	9338	15826	9168	7747
Gemellaceae	30929	3827	14580	11632	3636	2642	2508	20200	1022	13397	10291	20722	2716	3119	8525	15078	8724	6273
Gemella	30929	3759	14604	11726	3640	2529	2519	20198	1043	13212	10320	20598	2770	3283	8624	14865	8685	6413
