"name"	"taxRank"	"taxID"	"Max"	"SL021_caries_fre.cladeReads"	"SL036_caries_activ.cladeReads"	"SL037_caries_activ.cladeReads"	"SL038_caries_activ.cladeReads"	"SL048_caries_activ.cladeReads"	"SL050_caries_activ.cladeReads"	"SL068_caries_activ.cladeReads"	"SL085_caries_fre.cladeReads"	"SL086_caries_fre.cladeReads"	"SL088_caries_fre.cladeReads"	"SL090_caries_fre.cladeReads"	"SL103_caries_fre.cladeReads"	"SL111_caries_activ.cladeReads"	"SL112_caries_fre.cladeReads"	"SL114_caries_fre.cladeReads"	"SL118_caries_activ.cladeReads"	"SL125_caries_fre.cladeReads"	"SL200_caries_activ.cladeReads"	"lineage"
"Streptococcus oralis"	"S"	1303	195090	29172	84397	93006	28274	161150	66193	32356	43303	131637	97763	101468	195093	33524	78635	30820	47698	44651	44042	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pneumoniae"	"S"	1313	81974	22636	20746	37901	21709	18725	13240	3727	40827	8098	37540	68643	81974	12727	24016	18263	39816	8570	21965	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"unclassified Streptococcus"	"-"	2608887	181770	14578	31732	38537	21458	47063	34259	12396	27730	18621	41601	181769	89232	98261	58819	56252	45929	27971	17979	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus sp. 116-D4"	"S"	2598453	14150	4489	3461	7810	3716	3016	1978	567	7093	936	6626	13338	14150	2454	4520	3289	6565	1451	4041	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006"	"S"	3077584	30967	1366	1946	5534	3193	4779	2498	1312	3180	1349	4125	30967	9617	3264	4559	4680	3959	2067	1513	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. oral taxon 431"	"S"	712633	34679	1104	1799	5327	2466	4457	2150	1200	2713	1139	3728	34679	9575	3685	4321	5211	3812	2071	1094	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. NPS 308"	"S"	1902136	5531	1115	2127	3638	992	3751	1717	756	1824	1931	2840	4329	5531	1641	2879	1092	5174	2010	2231	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 1643"	"S"	2576376	5047	909	2574	2475	941	5047	3648	751	1087	2655	3754	2959	3445	858	1966	794	1813	1311	1238	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A"	"S"	3077723	5839	816	1719	1764	810	2397	4747	989	1902	3203	1695	986	5833	4353	5839	998	1319	3498	2276	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. oral taxon 061"	"S"	712623	27426	643	1531	2177	1975	4401	2442	1054	1815	854	3451	27426	6594	6710	7295	12561	4213	2563	635	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. Marseille-Q6470"	"S"	2972784	26810	585	1166	1573	1634	3794	2127	905	1607	675	3308	26810	5447	4945	5598	6677	4332	2499	655	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. Marseille-Q3533"	"S"	2759692	23062	533	813	1597	1180	2973	1089	601	1810	581	2808	23062	4544	4851	4947	4330	4525	3623	884	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. D7B5"	"S"	3038077	4831	735	2574	2084	687	3929	2030	789	1125	1763	3512	3291	4587	1305	4831	743	1475	1870	1270	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FDAARGOS_192"	"S"	1839799	1800	485	1229	282	192	260	681	147	154	206	88	308	794	1800	96	815	367	55	98	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. oral taxon 064"	"S"	712624	4974	567	2020	1200	497	3544	1333	746	868	1075	1965	2119	4974	746	1789	484	800	760	624	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. S5"	"S"	3098076	19324	389	2676	642	902	1284	2958	843	454	715	552	3132	4883	19324	899	4093	1150	273	255	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. LPB0220"	"S"	2610896	20405	320	2656	640	796	1366	2596	871	598	753	1100	3769	4304	20405	963	4127	1432	315	267	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. S1"	"S"	3098075	13042	204	1716	510	508	778	1696	523	344	463	428	2092	2820	13042	916	3557	1023	266	139	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. A12"	"S"	1759399	8216	120	360	598	602	494	339	137	557	117	1001	1581	1123	8216	6892	2455	3484	3152	318	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. zg-86"	"S"	2664091	131	28	43	71	14	34	28	9	71	31	36	75	131	70	32	33	71	14	18	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. KS 6"	"S"	2598457	252	29	184	120	39	252	41	31	65	37	42	177	153	100	31	36	48	22	75	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 29896"	"S"	3028082	102	24	25	46	21	32	15	5	43	13	34	63	102	38	26	25	27	10	34	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 29887"	"S"	3028084	68	22	30	20	19	23	4	1	39	12	14	43	68	41	31	18	47	7	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. HN38"	"S"	3020829	104	23	13	43	42	32	7	10	46	5	34	50	104	12	18	19	29	4	10	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. NSJ-72"	"S"	2763068	944	22	944	183	39	235	66	69	113	57	154	227	202	111	147	39	106	70	124	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. 29892"	"S"	3028083	114	8	25	91	25	21	20	3	80	18	28	56	114	33	40	33	59	10	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. NCTC 11567"	"S"	2583584	69	9	17	39	8	69	4	17	18	14	8	8	16	63	46	NA	37	13	34	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sp. FDAARGOS_521"	"S"	2420309	19	19	NA	16	NA	NA	NA	NA	NA	NA	NA	17	NA	18	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>unclassified&nbsp;Streptococcus"
"Streptococcus sanguinis"	"S"	1305	138200	15194	34624	38798	19410	43788	115968	19551	27670	63039	32242	19060	92192	87929	138203	21496	31906	71107	44818	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus salivarius"	"S"	1304	39177	6994	31786	5912	3758	7576	15109	3164	3240	5550	1415	4172	11895	39177	2462	19432	5644	652	1520	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus toyakuensis"	"S"	2819619	19810	6477	5233	10655	6317	3102	2247	573	9909	1020	9031	12540	19810	2668	5010	3646	8011	1983	4776	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus gwangjuense"	"S"	1433513	39840	5415	6216	9487	10533	4473	2290	577	7782	1293	13211	9172	39840	3361	5021	3389	6624	3958	4101	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus gordonii"	"S"	1302	61681	3612	12022	20331	3392	18862	44517	6633	9275	8312	12221	39220	23502	61681	15746	10097	5308	4073	21522	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pseudopneumoniae"	"S"	257758	13764	3929	3544	7705	3704	3158	2728	766	7443	1161	7608	13464	13764	2469	4629	3178	7830	1326	4652	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus anginosus group"	"-"	671232	13850	1792	12709	7660	1887	5273	4475	1473	4579	1987	3734	4605	13850	5802	2785	2868	2169	1779	8203	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus intermedius"	"S"	1338	9310	1226	7401	1488	906	1914	3208	597	2651	896	2009	2742	9310	4244	1467	2060	908	563	6865	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group"
"Streptococcus anginosus"	"S"	1328	3102	239	1514	1267	468	1826	856	609	479	869	700	1477	3102	997	898	412	696	617	575	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group"
"Streptococcus constellatus"	"S"	76860	4904	326	3793	4904	513	1532	410	267	1448	221	1024	385	1437	560	419	396	563	597	761	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group"
"Streptococcus australis"	"S"	113107	12540	1541	2281	10760	1920	7764	1504	755	2828	5094	3742	4883	12540	10340	6271	2743	4496	2125	2120	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus parasanguinis"	"S"	1318	65935	1020	8676	2929	2460	4398	9099	2751	1837	2244	2016	11031	15350	65935	3976	13805	5150	1241	946	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus cristatus"	"S"	45634	13811	886	3614	13258	11107	7138	5291	3982	2440	6572	1584	11003	9860	9194	6853	7141	3110	4839	13811	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus infantis"	"S"	68892	14106	539	2055	1376	1828	2465	5054	1148	973	995	1399	14106	5685	2977	2346	6005	1952	793	347	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus vestibularis"	"S"	1343	1781	357	1781	445	284	232	185	78	411	129	584	377	1082	387	167	283	320	79	127	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus suis"	"S"	1307	1550	307	550	703	456	682	329	97	689	266	551	914	1550	581	443	377	658	228	313	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus thermophilus"	"S"	1308	17342	272	3523	493	503	540	513	17342	436	266	349	874	956	1406	391	646	531	199	255	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus lactarius"	"S"	684066	7149	176	1709	364	308	733	609	373	486	233	543	1337	1336	7149	1456	1005	1483	197	266	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus dysgalactiae group"	"-"	119603	1477	169	541	510	230	415	243	134	370	365	398	530	1477	537	528	225	437	147	267	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus dysgalactiae"	"S"	1334	580	110	340	242	103	204	152	68	197	245	277	395	580	387	360	136	217	73	111	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;dysgalactiae&nbsp;group"
"Streptococcus equi"	"S"	1336	896	59	200	267	127	210	90	66	172	120	121	135	896	149	167	88	219	74	156	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;dysgalactiae&nbsp;group"
"Streptococcus ilei"	"S"	1156431	7306	134	298	609	394	460	355	152	331	147	553	1512	1107	6126	7306	784	1512	766	181	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pyogenes"	"S"	1314	597	145	131	597	192	249	160	93	204	139	233	363	541	373	243	175	368	83	248	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus rubneri"	"S"	1234680	2430	95	165	179	166	229	137	54	184	90	270	699	487	2430	2285	617	751	496	127	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus parasuis"	"S"	1501662	1078	69	121	118	80	153	81	34	152	50	105	218	1078	123	102	94	131	61	52	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus equinus"	"S"	1335	272	63	89	105	62	74	39	21	110	18	40	137	272	70	63	54	115	22	71	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus agalactiae"	"S"	1311	1279	151	889	320	558	737	283	123	464	233	662	1279	1154	962	522	409	668	239	265	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus himalayensis"	"S"	1888195	251	56	65	112	39	95	49	18	142	43	70	121	251	75	43	75	117	32	46	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus koreensis"	"S"	2382163	2876	67	238	195	171	333	197	94	194	158	306	921	1040	2715	2876	463	756	328	105	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus oriscaviae"	"S"	2781599	121	48	40	67	36	45	19	11	62	24	35	91	121	54	62	44	61	29	25	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus mutans"	"S"	1309	13734	45	13734	889	237	5724	7802	2072	105	281	79	134	258	3669	58	4495	102	35	2628	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus ferus"	"S"	1345	148	39	54	62	20	37	28	22	109	24	73	116	148	43	32	42	51	10	35	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus alactolyticus"	"S"	29389	179	38	68	71	42	43	23	8	69	17	42	67	179	60	30	36	48	26	25	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus iniae"	"S"	1346	125	33	50	70	17	38	66	9	74	22	37	60	125	44	34	37	43	32	32	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus porcinus"	"S"	1340	302	33	302	60	28	64	15	15	72	63	41	58	135	59	65	39	73	13	32	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus urinalis"	"S"	149016	93	33	48	64	17	23	19	8	48	30	32	28	93	27	14	19	44	21	23	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus acidominimus"	"S"	1326	117	30	117	56	17	51	36	9	64	22	59	95	90	32	41	27	51	16	26	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus merionis"	"S"	400065	192	29	69	73	38	51	27	14	89	30	44	92	192	63	45	34	59	24	18	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pseudoporcinus"	"S"	361101	90	27	58	90	32	60	23	20	47	65	31	63	90	50	73	41	51	32	58	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pluranimalium"	"S"	82348	483	26	111	111	41	116	54	24	84	36	72	115	483	84	164	50	76	33	45	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus parauberis"	"S"	1348	98	26	41	53	39	59	12	11	54	25	43	46	98	45	18	24	50	18	20	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus marmotae"	"S"	1825069	111	25	58	58	26	48	28	3	44	28	40	100	111	47	50	34	91	15	50	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus uberis"	"S"	1349	95	25	72	39	18	30	23	4	72	45	37	25	95	32	33	42	48	34	13	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus canis"	"S"	1329	175	23	66	88	30	58	29	16	79	42	67	133	175	60	60	42	63	14	38	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus milleri"	"S"	33040	724	35	724	269	96	411	63	104	303	44	203	230	319	151	203	81	183	121	116	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus respiraculi"	"S"	2021971	150	17	59	72	22	44	24	7	73	17	36	100	150	58	55	32	63	8	36	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus halotolerans"	"S"	1814128	131	16	52	56	17	43	18	5	100	13	28	52	131	47	22	28	52	13	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus halichoeri"	"S"	254785	89	16	24	35	19	9	12	8	33	13	28	47	89	48	29	12	25	7	17	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus sobrinus"	"S"	1310	58733	15	58733	121	37	257	38	182	78	25	53	104	183	91	55	40	62	26	73	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus didelphis"	"S"	102886	113	15	38	65	9	50	5	6	36	9	25	46	113	38	26	14	33	20	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus chenjunshii"	"S"	2173853	99	15	58	29	10	41	7	4	22	11	24	43	99	31	24	10	28	20	15	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus lutetiensis"	"S"	150055	74	16	23	17	3	12	5	4	23	12	9	14	74	32	9	12	25	3	25	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus ratti"	"S"	1341	90	14	74	48	27	26	29	8	42	20	21	47	90	70	16	40	52	10	26	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus troglodytae"	"S"	1111760	113	12	113	38	24	31	32	10	29	16	32	48	64	54	24	36	31	11	17	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pantholopis"	"S"	1811193	115	11	28	46	12	34	10	2	42	23	32	26	115	19	30	27	26	20	16	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
