"species","Spearman_Correlation","P_value"
"Stenotrophomonas_sp._704A1",-0.790588611541018,0.00015827018842435
"Deinococcus_radiophilus",-0.790425490100907,0.000159115875161487
"Pseudodesulfovibrio_portus",-0.790100630254117,0.000160811370176377
"Deinococcus_psychrotolerans",-0.789221987022411,0.000165473225242598
"Luteimonas_sp._JM171",-0.788893530784739,0.000167244773202162
"Rhodococcus_antarcticus",-0.788859273486171,0.000167430454065067
"Pseudoxanthomonas_sp._SE1",-0.787937192743758,0.00017249363733828
"uncultured_Paludibaculum_sp.",-0.78749019549519,0.000174993921613588
"Brevundimonas_sp._SL130",-0.786406225073422,0.000181183541397596
"Stenotrophomonas_sp._169",-0.78540614172793,0.000187055828372945
"Anoxybacillus_caldiproteolyticus",-0.78417946431881,0.000194475562853094
"Xylophilus_rhododendri",-0.784168988167061,0.000194539975071439
"Caulobacter_segnis",-0.783768297929317,0.000197017050499005
"Ensifer_adhaerens",-0.783175109400365,0.000200732614909316
"[Bacillus]_caldolyticus",-0.782892824221051,0.000202521265587586
"Thermaerobacter_sp._FW80",-0.782892824221051,0.000202521265587586
"Bradyrhizobium_sp._CCBAU_51753",-0.781835420412961,0.00020934040771449
"Azospira_restricta",-0.781697883735523,0.000210241333709953
"Salipiger_profundus",-0.781653802052022,0.000210530774089173
"Methylococcus_geothermalis",-0.781156336455877,0.000213820322404789
"Paenibacillus_naphthalenovorans",-0.780924261951149,0.000215369593198448
"Mesoterricola_sediminis",-0.780908427265769,0.000215475643025031
"Stenotrophomonas_acidaminiphila",-0.780797651027541,0.000216218769077144
"Thermus_parvatiensis",-0.78023895024064,0.000219999502129073
"Ancylobacter_novellus",-0.7795095035075,0.000225018798721438
"Gemmatimonas_aurantiaca",-0.779413219328265,0.000225688427238317
"Thermochromatium_tepidum",-0.779140445775327,0.000227594546813733
"Mesorhizobium_australicum",-0.778904306825889,0.000229255525485743
"Methylococcus_sp._Mc7",-0.778464651867018,0.000232375037891266
"Meiothermus_ruber",-0.777895042693237,0.000236469353131459
"Thermaerobacter_sp._PB12/4term",-0.777799116866572,0.000237164761976263
"Lysobacter_avium",-0.777764264063384,0.000237417848635969
"Deinococcus_metallilatus",-0.777652289268123,0.00023823249250796
"Thermus_scotoductus",-0.77758507626023,0.000238722605297488
"Hydrogenophaga_sp._SL48",-0.777128030905671,0.000242077764540967
"Acidithiobacillus_caldus",-0.776647337760012,0.000245648977575612
"Rubrobacter_xylanophilus",-0.776205864234492,0.000248967519759401
"Sulfitobacter_sp._JL08",-0.776038840593525,0.000250232764335342
"Kyrpidia_spormannii",-0.775679290493184,0.000252974693799502
"Paenalcaligenes_faecalis",-0.77566955521436,0.000253049282843703
"Rhodanobacter_denitrificans",-0.775264747114332,0.000256167130698075
"Natrinema_halophilum",-0.775255091089009,0.000256241892077327
"Nonomuraea_phyllanthi",-0.774398830832602,0.000262944378036544
"Aeromicrobium_sp._Leaf245",-0.773626892914901,0.000269111800775189
"Mycobacterium_heidelbergense",-0.773598497989574,0.000269340947732256
"Rhizobium_phaseoli",-0.773596759006304,0.000269354986618302
"Hartmannibacter_diazotrophicus",-0.773111229767956,0.000273298679504797
"Streptomyces_sp._Alt2",-0.772406497984282,0.000279108585351507
"Allochromatium_tepidum",-0.772359560950878,0.000279499176935726
"Corynebacterium_resistens",-0.771964708419319,0.000282803099859448
"Candidatus_Thiodictyon_syntrophicum",-0.771631797582985,0.000285614014879583
"Cupriavidus_taiwanensis",-0.76932573248976,0.000305733140275642
"Roseovarius_indicus",-0.769200043108084,0.000306862846036707
"Luteimonas_sp._S4-F44",-0.767804981545728,0.000319637541159996
"Hydrogenophaga_sp._PBL-H3",-0.766533802147992,0.000331661345148152
"Myxococcus_landrumus",-0.766533802147992,0.000331661345148152
"Spiribacter_halobius",-0.76653119447903,0.000331686392838122
"Pseudoxanthomonas_spadix",-0.766510200801131,0.000331888102907308
"Bacillus_methanolicus",-0.765453099138531,0.000342178058098682
"Pseudoxanthomonas_sp._X-1",-0.765288842462046,0.000343800582538241
"Umezawaea_sp._Da_62-37",-0.765010587346494,0.000346563823321208
"Deinococcus_sp._AJ005",-0.764683030934285,0.000349840367721834
"Geobacillus_sp._JS12",-0.764315706358178,0.00035354540143854
"Xanthomonas_fragariae",-0.763985127561589,0.000356907716287181
"Xanthomonas_sp._DM-2023",-0.763939706514869,0.000357371769839048
"Limnochorda_pilosa",-0.76390279584028,0.000357749245839017
"Pseudoxanthomonas_mexicana",-0.762983895592923,0.000367254339891958
"Thiobacillus_sp.",-0.762707203115271,0.000370157338188119
"Methylosinus_trichosporium",-0.762504160838027,0.000372299761314102
"Luteimonas_sp._MC1825",-0.762166625011391,0.000375884178561228
"Halorubrum_salinarum",-0.761639375173793,0.000381540771452237
"Mesorhizobium_sp._113-1-2",-0.761075292261019,0.000387670897726154
"Luteimonas_granuli",-0.760700634248469,0.000391787647582622
"Brucella_sp._NM4",-0.760649058601729,0.000392357203379098
"Azotobacter_vinelandii",-0.760599045275714,0.000392910164964837
"Porphyrobacter_sp._YT40",-0.760148922065962,0.00039791614014462
"Alloyangia_pacifica",-0.76003100293755,0.000399236306024107
"Geobacillus_subterraneus",-0.759976733815238,0.000399845101925147
"Amycolatopsis_sp._FDAARGOS_1241",-0.759841095602257,0.000401370086514371
"Thermobacillus_composti",-0.759570539365425,0.000404426432570532
"Geobacillus_thermocatenulatus",-0.759516969175298,0.000405033883019587
"Diaphorobacter_sp._JS3050",-0.759007958397358,0.000410843743249552
"Urbifossiella_limnaea",-0.758701833714503,0.000414371160629537
"Methylobacterium_currus",-0.758050974772278,0.000421954764760414
"Devosia_sp._A16",-0.757852658340432,0.000424288324652785
"Geobacillus_stearothermophilus",-0.756823108625958,0.000436576299497475
"Acidithiobacillus_thiooxidans",-0.755187084681986,0.000456711453545787
"Lysobacter_sp._K5869",-0.754493182241785,0.000465481862497183
"Allomeiothermus_silvanus",-0.754283433764797,0.00046816033919485
"Kocuria_varians",-0.754107674309192,0.000470414640790922
"Deinococcus_ficus",-0.753873002378073,0.000473438629591438
"Sinorhizobium_meliloti",-0.752463822199382,0.000491939502751984
"Aeribacillus_pallidus",-0.751743758903636,0.000501622734999942
"Novosphingobium_sp._EMRT-2",-0.751210388442733,0.000508897094079098
"Chelatococcus_sp._CO-6",-0.750637877864882,0.000516802642453033
"Parageobacillus_thermoglucosidasius",-0.750171498274743,0.000523317886061036
"Sinorhizobium_fredii",-0.750171498274743,0.000523317886061036
"Brevundimonas_nasdae",-0.750010610229677,0.000525581240911282
"Candidatus_Filomicrobium_marinum",-0.749856560902928,0.000527756008353962
"Dickeya_chrysanthemi",-0.749414817338259,0.000534033768396462
"Rhizobium_leguminosarum",-0.748620621730133,0.000545476426875383
"Roseomonas_haemaphysalidis",-0.748017371767511,0.000554303461906887
"Deinococcus_sp._NW-56",-0.747648805665721,0.000559754653849977
"Pseudomonas_sp._HR96",-0.747392488078219,0.000563571853204917
"Stenotrophomonas_sp._A5586",-0.747057240015265,0.0005685971340018
"Parasphingorhabdus_halotolerans",-0.746838484863765,0.000571896238716699
"Rhodovastum_atsumiense",-0.746299754239459,0.000580088823452899
"Bosea_sp._RAC05",-0.746183821008099,0.000581864524923832
"Stenotrophomonas_sp._LM091",-0.745216308661392,0.000596860297359893
"Stackebrandtia_nassauensis",-0.744804957969357,0.000603332425621537
"Ammonifex_degensii",-0.743883246558974,0.000618046240059968
"Candidatus_Symbiobacter_mobilis",-0.743759320961934,0.000620047053189829
"Xanthomonas_axonopodis",-0.743677130766218,0.000621376999256242
"Methylobacterium_mesophilicum",-0.743460563909418,0.000624892679285737
"Thermomonas_brevis",-0.742218700035721,0.000645372986055606
"Nocardioides_ungokensis",-0.742151651288918,0.000646494378885775
"Gemmatirosa_kalamazoonensis",-0.742016981744839,0.000648751616553924
"Halobellus_limi",-0.74170246663983,0.000654048776570291
"Streptomyces_sp._ICC1",-0.741291247794414,0.000661028726181895
"Streptosporangium_roseum",-0.741093920895852,0.000664399986102712
"Oceanicola_sp._D3",-0.740430840534485,0.000675833129386362
"Deinococcus_aquaticus",-0.740315222028412,0.000677843282699521
"Devosia_ginsengisoli",-0.739949039921115,0.000684242502625248
"Synechococcus_sp._NOUM97013",-0.739722667631764,0.000688223469504967
"Thermoflexus_hugenholtzii",-0.739236008274242,0.000696846874435089
"Acidovorax_sp._T1",-0.738970348934536,0.000701591918056936
"Paracidovorax_avenae",-0.738650862773263,0.000707333826994989
"Stenotrophomonas_sp._A5588",-0.738530348015276,0.000709509850022864
"Dyella_sp._BiH032",-0.738495097858945,0.000710147377154809
"Caldalkalibacillus_thermarum",-0.738427008822511,0.000711380165966545
"Halomonas_sp._1513",-0.738042355811118,0.000718377880194217
"Aerosticca_soli",-0.73723271307628,0.000733293665073984
"Deinococcus_geothermalis",-0.736990731659332,0.000737801089787039
"Aeribacillus_composti",-0.736557624965577,0.000745925948672486
"Tepidimonas_taiwanensis",-0.736462137719984,0.000747727176108278
"Lysobacter_luteus",-0.73639237549307,0.000749045415368767
"Bradyrhizobium_sp._SK17",-0.736181585695805,0.000753040239491795
"Segniliparus_rotundus",-0.735813542025051,0.000760057599685163
"Clavibacter_phaseoli",-0.735691395943543,0.000762398452772737
"Psychrobacter_sp._LV10R520-6",-0.735340967587396,0.000769147357604584
"Piscinibacter_sp._XHJ-5",-0.735307185004213,0.000769800583417828
"Thermus_sp._NEB1569",-0.735123092573665,0.000773368305665119
"endosymbiont_of_unidentified_scaly_snail_isolate_Monju",-0.735114475373949,0.000773535642428975
"Streptomyces_avermitilis",-0.734376363870398,0.000787980698840928
"Stenotrophomonas_sp._ESTM1D_MKCIP4_1",-0.734314289191823,0.000789205630932954
"Deinococcus_sp._QL22",-0.733782746251895,0.000799759376850242
"Streptomyces_sp._Je_1-369",-0.733622787985747,0.000802958110281881
"Sphingomonas_sp._C3-2",-0.733618695009184,0.000803040097526536
"Arthrobacter_sp._MMS18-M83",-0.733445601055154,0.000806513727460558
"Lysobacter_sp._KIS68-7",-0.733358797622569,0.000808260366303269
"Geobacillus_sp._46C-IIa",-0.733178710633508,0.000811894024098003
"Burkholderia_cepacia",-0.733167554810852,0.000812119561810187
"Paenibacillus_sp._RUD330",-0.733115875411601,0.000813165043025664
"Nocardia_sp._PE-7",-0.732643354656477,0.000822775969803126
"Diaphorobacter_sp._Y-1",-0.73252654641394,0.000825166250144267
"Bosea_sp._Tri-49",-0.731745338003482,0.000841300546389191
"Methyloceanibacter_sp._wino2",-0.731391905395992,0.000848685275364995
"Cellulomonas_sp._Y8",-0.731104532321091,0.00085472919713467
"Streptomyces_chartreusis",-0.731014755838773,0.000856624625874806
"Lysobacter_enzymogenes",-0.730510753828864,0.000867330175117334
"Azospirillum_sp._TSH100",-0.730316198983222,0.000871492227024552
"Piscinibacter_gummiphilus",-0.730103833670807,0.000876054138052804
"Sulfuritortus_calidifontis",-0.730000941978593,0.000878271491849532
"Anaeromyxobacter_oryzae",-0.72985903908034,0.00088133716559242
"Marinithermus_hydrothermalis",-0.729757360502331,0.000883539270797018
"Thermus_brockianus",-0.729366689607684,0.000892042610535417
"Thermus_thermophilus",-0.728801835160988,0.000904456810129586
"Stenotrophomonas_pavanii",-0.728296867202684,0.000915675455150953
"Streptococcus_pantholopis",0.728292158834737,0.000915780597631341
"Leptotrichia_hofstadii",-0.727941176470588,0.00133423728801895
"Tsuneonella_mangrovi",-0.727793164886465,0.000926980353485337
"Methylobacterium_sp._WL1",-0.727789081811225,0.00092707246163492
"Halomonas_sp._MCCC_1A13316",-0.727327293306637,0.00093753866105077
"Acetobacter_ghanensis",-0.727296755243356,0.000938234219093626
"Geobacillus_virus_E3",-0.727169568443812,0.000941135711277706
"Oceanithermus_profundus",-0.7271031109032,0.000942654744145277
"Pelagovum_pacificum",-0.72706850516839,0.000943446536123266
"Luteimonas_sp._YGD11-2",-0.726719196320596,0.000951469675754465
"Parageobacillus_toebii",-0.726609801429415,0.00095399388819494
"Methylorubrum_extorquens",-0.726520759659135,0.000956052549566673
"Corynebacterium_marinum",-0.726512496944221,0.000956243770988771
"Desulfosudis_oleivorans",-0.726259454969908,0.00096211516672654
"Pseudomonas_resinovorans",-0.726038416990269,0.000967268313277921
"Micromonospora_coriariae",-0.725927444055827,0.000969864056098383
"Lysobacter_sp._TY2-98",-0.725736802566147,0.000974336744772122
"Synechococcus_sp._KORDI-49",-0.725719643480667,0.000974740153059184
"Xanthomonas_sp._CFBP_8443",-0.725607951345573,0.000977369397514092
"Paludibaculum_fermentans",-0.725607951345573,0.000977369397514092
"Brevibacillus_borstelensis",-0.725378259393094,0.00098279478810762
"Delftia_sp._KV29",-0.725329539710379,0.000983948753600149
"Magnetospirillum_gryphiswaldense",-0.725131715735498,0.000988645883291554
"uncultured_Roseateles_sp.",-0.725080462348204,0.000989865859619283
"Shinella_sp._HZN7",-0.724926058227607,0.000993548635799179
"uncultured_Pleomorphomonas_sp.",-0.724877066117334,0.000994719535786097
"Luteibacter_aegosomaticola",-0.724761571119487,0.000997484350956083
"Sphingomonas_sanxanigenens",-0.724644886734173,0.00100028408199809
"Roseiflexus_sp._RS-1",-0.724422864646955,0.00100562921814807
"Pseudomonas_putida",-0.723926925309344,0.00101765410243974
"Desulfuromonas_versatilis",-0.723388697855518,0.00103083845493479
"Klebsiella_michiganensis",-0.723380740028269,0.00103103444178319
"Pyruvatibacter_mobilis",-0.723148674890257,0.001036763332112
"Pseudomonas_sp._09C_129",-0.722807706372972,0.00104522833320292
"Arthrobacter_phage_SilentRX",-0.722807706372972,0.00104522833320292
"Denitratisoma_oestradiolicum",-0.722644543364455,0.00104929921394096
"Persicimonas_caeni",-0.722610121638417,0.0010501596981667
"Deinococcus_puniceus",-0.722540893025637,0.00105189205910502
"Streptomyces_xanthii",-0.722386079635831,0.00105577461240227
"Nocardioides_panacisoli",-0.722079772090867,0.00106349134094907
"Thermus_antranikianii",-0.721993984326774,0.0010656608964086
"Nannocystis_poenicansa",-0.721905887298936,0.00106789265370439
"Methylomonas_rapida",-0.721854806769647,0.0010691884400454
"Myxococcus_xanthus",-0.721352412655084,0.00108200223150546
"Methylocaldum_szegediense",-0.721146932283966,0.00108727949186425
"Lysobacter_alkalisoli",-0.720947062606231,0.00109243301720807
"Methylococcus_capsulatus",-0.720898329811034,0.0010936926163127
"Deinococcus_soli_(ex_Cha_et_al._2016)",-0.720149074057727,0.00111321004172815
"Pelagerythrobacter_marensis",-0.719613701909735,0.00112733128969103
"Comamonas_serinivorans",-0.719020538656872,0.00114314909756481
"Geobacillus_sp._GHH01",-0.718727985708544,0.00115101771391218
"Bradyrhizobium_sp._CB1024",-0.718709092060534,0.00115152741641428
"Streptacidiphilus_sp._PB12-B1b",-0.718417578861695,0.00115941532487775
"Deinococcus_rubellus",-0.718389181391388,0.00116018609354878
"Thauera_chlorobenzoica",-0.718291820881035,0.00116283187678902
"Bradyrhizobium_sp._40",-0.717913619661762,0.00117315679261834
"Sulfurivermis_fontis",-0.716961326427026,0.00119948970682148
"Conexibacter_woesei",-0.716619284229368,0.00120906601170592
"Congregibacter_litoralis",-0.716470267665189,0.0012132577567047
"Luteimonas_chenhongjianii",-0.716386130984481,0.00121562975638726
"Brevibacillus_choshinensis",-0.716375350965163,0.00121593394510582
"Mariprofundus_ferrinatatus",-0.716212679444825,0.00122053180411257
"Thermus_caldilimi",-0.716013751761868,0.0012261738996148
"Nocardioides_jishulii",-0.71597310172483,0.0012273294790733
"Sphingomonas_naphthae",-0.71590759032047,0.00122919369416911
"Paenibacillus_sp._32O-W",-0.715705778348269,0.00123495119898972
"Aquisphaera_giovannonii",-0.714009942568671,0.00128421558328225
"Thermus_oshimai",-0.713648635986222,0.00129491800691707
"Mycolicibacterium_thermoresistibile",-0.713377881520751,0.00130298620876875
"Microvirga_ossetica",-0.713139700983258,0.00131011793002826
"Streptomyces_tubercidicus",-0.712940082240169,0.00131611974807538
"Streptomyces_cyaneofuscatus",-0.712133048932743,0.00134061565210415
"Rhodococcus_sp._X156",-0.711714527553847,0.0013534660965503
"Geobacillus_zalihae",-0.711642816092699,0.00135567809561625
"Thermus_sp._CCB_US3_UF1",-0.711642816092699,0.00135567809561625
"Halomonas_sp._M4R1S46",-0.711572911502161,0.00135783722401433
"Planctomyces_sp._SH-PL14",-0.711524972676195,0.00135931953616424
"Bacillus_licheniformis",-0.711279826304573,0.00136692052488139
"Pseudomonas_alcaligenes",-0.71068878783923,0.00138539017475208
"Nocardioides_mesophilus",-0.710364996567401,0.00139559525150461
"Luteitalea_pratensis",-0.710142042614205,0.00140265809372497
"Paracoccus_sp._SCSIO_75233",-0.710108061268073,0.00140373714966953
"Caldibacillus_thermoamylovorans",-0.709994002241607,0.00140736401689747
"Methylobacterium_sp._NMS14P",-0.709720555585855,0.00141609053066699
"Sphingomonas_cannabina",-0.709321740379927,0.00142889771731297
"Pseudorhodoplanes_sinuspersici",-0.708970125377538,0.00144026806219563
"Marinimicrobium_sp._C6131",-0.708970125377538,0.00144026806219563
"Pararhizobium_sp._YC-54",-0.708947181201415,0.0014410125984625
"Geobacillus_thermodenitrificans",-0.708936708478576,0.0014413525425207
"Nissabacter_sp._SGAir0207",-0.708897746085966,0.00144261783917624
"Breoghania_sp.",-0.708842100329938,0.00144442650932929
"Achromobacter_sp._B7",-0.708477859833314,0.00145631164931109
"Paenibacillus_sp._B01",-0.708308344901182,0.00146187027322823
"Devosia_sp.",-0.707966102670209,0.001473146049948
"Bordetella_flabilis",-0.706708614033139,0.00151519231396018
"Labilithrix_luteola",-0.706194667506063,0.00153265860251831
"Amycolatopsis_sp._WQ_127309",-0.706042181394021,0.00153787250787879
"Cellulomonas_fimi",-0.705673586811958,0.00155053597850387
"Hydrogenophaga_sp._BPS33",-0.705406526909372,0.00155976455593426
"Methylobacterium_terrae",-0.705270503173452,0.00156448234367537
"Paracoccus_zhejiangensis",-0.705241399414319,0.0015654932872031
"Planococcus_sp._N016",-0.705096367750917,0.00157053909102694
"Thiohalobacter_thiocyanaticus",-0.7049364016509,0.00157611997236036
"Symbiobacterium_thermophilum",-0.704857598460329,0.00157887523577118
"Paracoccus_jeotgali",-0.704544868597457,0.00158984852916898
"Phreatobacter_cathodiphilus",-0.704329514758169,0.00159744139502837
"Thioalkalivibrio_sulfidiphilus",-0.704123969587719,0.00160471619537352
"Micromonospora_profundi",-0.70370368102456,0.00161967609142431
"Streptomyces_spectabilis",-0.703651878371665,0.0016215278770355
"Singulisphaera_acidiphila",-0.7021241146621,0.00167692795523104
"Pseudomonas_versuta",-0.701486465171724,0.00170050559624283
"Sphingomonas_sp._HMP9",-0.701264364333076,0.00170878159339993
"Thermocaproicibacter_melissae",-0.700950261680417,0.00172054221651793
"Tuwongella_immobilis",-0.700064347106814,0.00175407108490962
"Pseudomonas_sp._Marseille-Q3773",-0.699924948892985,0.00175939532578901
"Streptomyces_buecherae",-0.699163682210721,0.00178870602119234
"Fictibacillus_sp._KU28468",-0.69913341177426,0.00178987973975096
"Corynebacterium_glutamicum",-0.699083409277343,0.00179181994146392
"Pseudomonas_sp._PSE14",-0.697755771354637,0.00184396976770565
"Rhodanobacter_sp._FDAARGOS_1247",-0.697599847725816,0.00185017530308593
"Halothiobacillus_neapolitanus",-0.696487829656774,0.0018949304999875
"Cystobacter_fuscus",-0.696290235700521,0.00190297511994019
"Achromobacter_insolitus",-0.696083353612108,0.00191142786880986
"Inhella_inkyongensis",-0.695985218834855,0.00191544818990686
"Agrobacterium_vitis",-0.695961693908587,0.00191641297292625
"Acinetobacter_lwoffii",-0.695882771425913,0.00191965258088575
